well_id|county|spud_date|completion_date
12148|County 9|2009-07-08|2009-09-03
12149|County 8|2009-07-21|2009-10-09
12150|County 9|2022-11-25|2023-10-14
12151|County 8|2019-08-27|2021-05-22
12152|County 6|2011-09-14|2012-05-17
12153|County 9|2017-10-26|2018-01-25
12154|County 8|2014-03-19|2014-09-03
12155|County 5|2008-07-09|2008-11-06
12156|County 1|2013-04-29|2013-10-01
12157|County 9|2010-06-29|2010-09-07
12158|County 5|2013-01-06|2013-04-24
12159|County 6|2012-09-16|2013-01-01
12160|County 7|2012-12-24|2013-03-21
12161|County 8|2013-03-16|2013-05-03
12162|County 6|2019-07-28|2019-10-21
12163|County 1|2013-11-10|2014-05-14
12164|County 8|2012-06-21|2012-09-15
12165|County 1|2014-05-03|2014-07-04
12166|County 8|2020-11-23|2021-04-04
12167|County 9|2013-06-30|2013-11-25
12168|County 5|2012-08-17|2012-11-06
12169|County 9|2011-07-16|2012-01-07
12170|County 8|2021-12-11|2022-12-30
12171|County 8|2014-12-24|2015-06-05
12172|County 6|2018-08-24|2019-03-12
12173|County 9|2017-05-25|2017-12-01
12174|County 6|2013-08-07|2013-09-28
12175|County 1|2017-11-19|2018-07-13
12176|County 9|2009-11-17|2010-05-01
12177|County 1|2015-06-30|2016-03-10
12178|County 6|2015-02-08|2015-06-22
12179|County 1|2018-07-04|2019-01-17
12180|County 9|2014-02-14|2014-11-29
12181|County 8|2021-12-18|2022-07-10
12182|County 1|2018-12-20|2019-10-26
12183|County 9|2018-03-22|2018-08-01
12184|County 9|2014-06-29|2014-12-08
12185|County 6|2011-03-06|2011-07-18
12186|County 9|2010-04-19|2010-07-11
12187|County 1|2016-07-29|2016-12-22
12188|County 6|2013-11-17|2014-02-08
12189|County 8|2013-03-01|2013-09-28
12190|County 6|2020-12-29|2021-09-03
12191|County 5|2015-08-25|2016-08-22
12192|County 9|2015-04-09|2015-09-29
12193|County 9|2023-02-05|2023-07-03
12194|County 1|2014-01-26|2014-04-11
12195|County 6|2012-06-13|2012-11-22
12196|County 9|2010-08-12|2010-11-03
12197|County 1|2017-09-21|2018-06-20
12198|County 9|2014-01-07|2014-08-16
12199|County 5|2010-07-03|2010-09-24
12200|County 1|2013-12-11|2014-05-04
12201|County 6|2014-10-25|2015-04-11
12202|County 8|2015-05-28|2015-10-07
12203|County 1|2016-06-30|2016-11-10
12204|County 6|2013-04-25|2013-09-07
12205|County 8|2013-10-13|2014-03-01
12206|County 6|2014-05-10|2015-03-03
12207|County 9|2012-02-26|2012-06-01
12208|County 6|2010-08-11|2011-01-09
12209|County 1|2013-10-25|2014-04-06
12210|County 9|2019-12-07|2020-04-02
12211|County 1|2011-10-09|2012-01-14
12212|County 1|2015-04-17|2015-10-05
12213|County 1|2012-08-20|2013-01-11
12214|County 1|2015-03-06|2015-09-24
12215|County 9|2014-12-25|2017-02-25
12216|County 9|2014-06-07|2014-11-25
12217|County 9|2009-08-13|2009-10-26
12218|County 9|2012-11-09|2013-03-30
12219|County 1|2018-10-15|2019-02-22
12220|County 9|2019-04-22|2019-09-17
12221|County 6|2015-08-01|2017-11-07
12222|County 8|2021-10-22|2022-06-13
12223|County 8|2013-04-06|2013-08-01
12224|County 6|2019-01-07|2019-05-01
12225|County 6|2021-12-29|2022-05-16
